,0
Test Statistic,-0.2311802461158814
p-value,0.9347015189391075
Lags,22.0
Observations,975.0
Critical Value (1%),-3.43707471791689
Critical Value (5%),-2.8645089073679597
Critical Value (10%),-2.5683508010519396
