,0
Test Statistic,-0.5905831345803486
p-value,0.8730956867417361
Lags,23.0
Observations,2031.0
Critical Value (1%),-3.4335738228216677
Critical Value (5%),-2.8629641232861176
Critical Value (10%),-2.5675281403557513
