,0
Test Statistic,-17.374664109292144
p-value,5.113909975023593e-30
Lags,2.0
Observations,585.0
Critical Value (1%),-3.4415777369651717
Critical Value (5%),-2.866493255736561
Critical Value (10%),-2.569407951640003
