,0
Test Statistic,-11.263793316169979
p-value,1.597919134443447e-20
Lags,1.0
Observations,957.0
Critical Value (1%),-3.4372015433243797
Critical Value (5%),-2.8645648359053517
Critical Value (10%),-2.568380590610461
