,0
Test Statistic,-14.898039319524838
p-value,1.5218075465800562e-27
Lags,22.0
Observations,2031.0
Critical Value (1%),-3.4335738228216677
Critical Value (5%),-2.8629641232861176
Critical Value (10%),-2.5675281403557513
